DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2021-06-29                13:41:48.519              179.52903378              4308.696811               180.52903378              1624966908.519            0                         963                       1.3999855995E+02          4.5002063724E+01          3.9562500000E+01          4.5247447958E+01          4.5004592914E+01          4.7000000000E+01          0.0000000000E+00          2.8632375955E+04          3.0000000000E+00          3.2441151195E-01          3.1254916640E-01          3.0278234361E-01          3.1648879761E-01          3.3698979676E-01          3.2464421519E-01          3.1447953376E-01          3.2862745978E-01          4.4616203168E+02          2.2911051640E+00          2.3552250713E+00          2.1449757515E+00          5.7070160807E+00          0.0000000000E+00          6.7846737634E-01          5.6134456571E+01          2.5971144509E+00          1.2272124720E+02          4.9748517962E+02          6.1479714482E+00          
2021-06-29                13:41:49.341              179.52904330              4308.697039               180.52904330              1624966909.341            0                         963                       1.3999855995E+02          4.5002063724E+01          3.9562500000E+01          4.5247447958E+01          4.5004592914E+01          4.7000000000E+01          0.0000000000E+00          2.8632375955E+04          3.0000000000E+00          3.2444104607E-01          3.1710275810E-01          3.0308315893E-01          3.1675739740E-01          3.3703692106E-01          3.2937694981E-01          3.1479283080E-01          3.2890684337E-01          4.4616089611E+02          2.2923640528E+00          2.3566026572E+00          2.1476967209E+00          5.5316638484E+00          0.0000000000E+00          6.7846737634E-01          5.6134456571E+01          2.5971144509E+00          1.2272124720E+02          4.9748517962E+02          6.1479714482E+00          
2021-06-29                13:41:49.743              179.52904796              4308.697151               180.52904796              1624966909.744            0                         963                       1.4000201416E+02          4.5002281189E+01          3.9562500000E+01          4.5247520447E+01          4.5004447937E+01          2.5000000000E+01          0.0000000000E+00          2.8636923828E+04          3.0000000000E+00          3.3645707336E-01          3.2198884878E-01          3.0394507111E-01          3.1681257856E-01          3.4952950067E-01          3.3445503315E-01          3.1568995742E-01          3.2896460991E-01          4.3076420932E+02          2.2929813406E+00          2.3572781813E+00          2.1490308800E+00          5.4456141019E+00          0.0000000000E+00          6.7846737634E-01          5.6134456571E+01          2.5971144509E+00          1.2272124720E+02          4.9940522030E+02          6.1479714482E+00          
2021-06-29                13:41:50.964              179.52906209              4308.697490               180.52906209              1624966910.965            0                         963                       1.3999997270E+02          4.5002281189E+01          3.9562500000E+01          4.5247520447E+01          4.5004447937E+01          4.7000000000E+01          0.0000000000E+00          2.8637373657E+04          3.0000000000E+00          3.7286297529E-01          3.2651111153E-01          3.0566612232E-01          3.1714524748E-01          3.8738291531E-01          3.3915604079E-01          3.1748095298E-01          3.2931114497E-01          3.8411568751E+02          2.2948388053E+00          2.3593118898E+00          2.1530736428E+00          5.1849026874E+00          0.0000000000E+00          7.6850305978E-01          5.6134456571E+01          2.3715308051E+00          1.2272124720E+02          4.9940522030E+02          6.1479714482E+00          
2021-06-29                13:41:51.822              179.52907201              4308.697728               180.52907201              1624966911.822            0                         963                       1.3999997270E+02          4.5002281189E+01          3.9562500000E+01          4.5247520447E+01          4.5004447937E+01          4.7000000000E+01          0.0000000000E+00          2.8637373657E+04          3.0000000000E+00          3.7289380834E-01          3.2829575878E-01          3.0659984018E-01          3.1735114616E-01          3.8743467587E-01          3.4101312577E-01          3.1845253246E-01          3.2952599543E-01          3.8411450404E+02          2.2961423267E+00          2.3607392496E+00          2.1559116584E+00          5.0020841894E+00          0.0000000000E+00          7.6850305978E-01          5.6134456571E+01          2.3715308051E+00          1.2272124720E+02          4.9940522030E+02          6.1479714482E+00          
2021-06-29                13:41:52.440              179.52907918              4308.697900               180.52907918              1624966912.441            0                         963                       1.4000138197E+02          4.5002281189E+01          3.9562500000E+01          4.5247520447E+01          4.5004447937E+01          2.0000000000E+00          0.0000000000E+00          2.8634518367E+04          3.0000000000E+00          3.6302579237E-01          3.2980503105E-01          3.0750714095E-01          3.1747418624E-01          3.7719451862E-01          3.4258381892E-01          3.1939778393E-01          3.2965476855E-01          3.7829556487E+02          2.2970837647E+00          2.3617702051E+00          2.1579617641E+00          4.8701028653E+00          0.0000000000E+00          7.6850305978E-01          5.6134456571E+01          2.3715308051E+00          1.2376667779E+02          4.9940522030E+02          4.8926354171E+00          
2021-06-29                13:41:53.270              179.52908878              4308.698131               180.52908878              1624966913.271            0                         963                       1.3999998681E+02          4.5002281189E+01          3.9562500000E+01          4.5247520447E+01          4.5004447937E+01          4.6000000000E+01          0.0000000000E+00          2.8633519063E+04          3.0000000000E+00          3.4972424645E-01          3.3056837012E-01          3.0822974091E-01          3.1756452254E-01          3.6334232411E-01          3.4337816326E-01          3.2015068499E-01          3.2974913145E-01          3.7049482765E+02          2.2983462077E+00          2.3629274557E+00          2.1533863330E+00          4.9696787818E+00          0.0000000000E+00          7.6850305978E-01          5.6211591921E+01          2.3715308051E+00          1.2376667779E+02          4.9940522030E+02          4.8926354171E+00          
2021-06-29                13:41:54.463              179.52910259              4308.698462               180.52910259              1624966914.464            0                         963                       1.3999746774E+02          4.5002221484E+01          3.9562500000E+01          4.5247550299E+01          4.5004477790E+01          4.7000000000E+01          0.0000000000E+00          2.8632601657E+04          3.0000000000E+00          3.3060418842E-01          3.3030015228E-01          3.0899208833E-01          3.1742573823E-01          3.4343478819E-01          3.4309956254E-01          3.2094527541E-01          3.2960581652E-01          3.5928244467E+02          2.3001608567E+00          2.3645908953E+00          2.1468173235E+00          5.1128049691E+00          0.0000000000E+00          6.8199247100E-01          5.6211591921E+01          2.2869524602E+00          1.2376667779E+02          4.9940522030E+02          4.8926354171E+00          
2021-06-29                13:41:55.315              179.52911244              4308.698699               180.52911244              1624966915.315            0                         963                       1.3999746774E+02          4.5002221484E+01          3.9562500000E+01          4.5247550299E+01          4.5004477790E+01          4.7000000000E+01          0.0000000000E+00          2.8632601657E+04          3.0000000000E+00          3.3056249279E-01          3.2931141884E-01          3.0929167728E-01          3.1741091237E-01          3.4336262914E-01          3.4207154665E-01          3.2125662755E-01          3.2959086247E-01          3.5928303185E+02          2.3014554043E+00          2.3657774509E+00          2.1421328419E+00          5.2148099625E+00          0.0000000000E+00          6.8199247100E-01          5.6211591921E+01          2.2869524602E+00          1.2376667779E+02          4.9940522030E+02          4.8926354171E+00          
2021-06-29                13:41:55.713              179.52911705              4308.698809               180.52911705              1624966915.713            0                         963                       1.3999617117E+02          4.5002159119E+01          3.9562500000E+01          4.5247581482E+01          4.5004508972E+01          2.5000000000E+01          0.0000000000E+00          2.8631302529E+04          3.0000000000E+00          3.3317609873E-01          3.2839507903E-01          3.0997534318E-01          3.1745507256E-01          3.4606420844E-01          3.4111833077E-01          3.2196777235E-01          3.2963700629E-01          3.6494782570E+02          2.3020608658E+00          2.3663323687E+00          2.1399423709E+00          5.2624985753E+00          0.0000000000E+00          6.8199247100E-01          5.6211591921E+01          2.2869524602E+00          1.2376667779E+02          5.0138270554E+02          4.8926354171E+00          
