DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2021-06-29                11:41:28.697              179.44547104              4306.691305               180.44547104              1624959688.698            0                         963                       1.4000187378E+02          4.5000236511E+01          3.5500000000E+01          4.5244834900E+01          4.5000846863E+01          2.5000000000E+01          0.0000000000E+00          2.9131322266E+04          3.0000000000E+00          2.5802660598E-01          2.9770746034E-01          2.9593727137E-01          3.1205528407E-01          2.6681383043E-01          3.0780994633E-01          3.0602982106E-01          3.2280762160E-01          4.1821760675E+02          1.5906260743E+01          1.6297859238E+01          1.8924651787E+00          6.2708641563E+00          0.0000000000E+00          5.3423333570E-01          5.9228129688E+01          1.9790593773E+00          1.0955097144E+02          3.4642587274E+03          6.1580848101E+00          
2021-06-29                11:41:29.973              179.44548580              4306.691659               180.44548580              1624959689.973            0                         963                       1.4000201265E+02          4.5000355921E+01          3.5500000000E+01          4.5244805047E+01          4.5000742379E+01          4.7000000000E+01          0.0000000000E+00          2.9132580537E+04          3.0000000000E+00          2.6970558403E-01          2.9860707832E-01          2.9244614992E-01          3.1205566281E-01          2.7888871263E-01          3.0873826056E-01          3.0241498017E-01          3.2280745589E-01          4.1740168346E+02          1.5902682118E+01          1.6294037928E+01          1.8917343355E+00          6.3642757902E+00          0.0000000000E+00          5.7475312998E-01          5.9228129688E+01          2.2873175094E+00          1.0955097144E+02          3.4642587274E+03          6.1580848101E+00          
2021-06-29                11:41:30.819              179.44549560              4306.691894               180.44549560              1624959690.820            0                         963                       1.4000201265E+02          4.5000355921E+01          3.5500000000E+01          4.5244805047E+01          4.5000742379E+01          4.7000000000E+01          0.0000000000E+00          2.9132580537E+04          3.0000000000E+00          2.6970008635E-01          3.0063426504E-01          2.9075975588E-01          3.1223305333E-01          2.7888060800E-01          3.1082833324E-01          3.0066922608E-01          3.2299049654E-01          4.1740218874E+02          1.5900304726E+01          1.6291499357E+01          1.8912488312E+00          6.4263823173E+00          0.0000000000E+00          5.7475312998E-01          5.9228129688E+01          2.2873175094E+00          1.0955097144E+02          3.4642587274E+03          6.1580848101E+00          
2021-06-29                11:41:31.426              179.44550262              4306.692063               180.44550262              1624959691.426            0                         963                       1.3999758838E+02          4.5000480652E+01          3.5541309932E+01          4.5244773865E+01          4.5000633240E+01          2.0000000000E+00          0.0000000000E+00          2.9129974295E+04          3.0000000000E+00          2.7002882909E-01          2.9975982402E-01          2.8939813899E-01          3.1241139891E-01          2.7921885709E-01          3.0992520535E-01          2.9925938061E-01          3.2317453406E-01          4.3972711160E+02          1.5898603785E+01          1.6289683119E+01          1.8909014773E+00          6.4708152240E+00          0.0000000000E+00          5.7475312998E-01          5.9228129688E+01          2.2873175094E+00          1.0936394170E+02          3.4642587274E+03          6.5996642930E+00          
2021-06-29                11:41:32.227              179.44551190              4306.692286               180.44551190              1624959692.228            0                         963                       1.4000152588E+02          4.5000480652E+01          3.5500000000E+01          4.5244773865E+01          4.5000633240E+01          4.6000000000E+01          0.0000000000E+00          2.9131447266E+04          3.0000000000E+00          2.7048062439E-01          2.9920120260E-01          2.8912788879E-01          3.1253090719E-01          2.7968530484E-01          3.0934521373E-01          2.9897975095E-01          3.2329769094E-01          4.6927078872E+02          1.5896352596E+01          1.6287343100E+01          1.8907432432E+00          6.2138335768E+00          0.0000000000E+00          5.7475312998E-01          5.9253854801E+01          2.2873175094E+00          1.0936394170E+02          3.4642587274E+03          6.5996642930E+00          
2021-06-29                11:41:33.430              179.44552582              4306.692620               180.44552582              1624959693.431            0                         963                       1.3999842269E+02          4.5000480652E+01          3.5500000000E+01          4.5244773865E+01          4.5000633240E+01          4.7000000000E+01          0.0000000000E+00          2.9128769484E+04          3.0000000000E+00          2.7115889524E-01          2.9741800560E-01          2.8767261083E-01          3.1257727473E-01          2.8038555470E-01          3.0749998136E-01          2.9747160221E-01          3.2334515499E-01          5.1358630336E+02          1.5892975772E+01          1.6283832438E+01          1.8905030065E+00          5.8283606857E+00          0.0000000000E+00          5.8685792248E-01          5.9253854801E+01          2.6158274801E+00          1.0936394170E+02          3.4642587274E+03          6.5996642930E+00          
2021-06-29                11:41:34.270              179.44553554              4306.692853               180.44553554              1624959694.271            0                         963                       1.3999842269E+02          4.5000480652E+01          3.5500000000E+01          4.5244773865E+01          4.5000633240E+01          4.7000000000E+01          0.0000000000E+00          2.9128769484E+04          3.0000000000E+00          2.7117136482E-01          2.9448270515E-01          2.8709413733E-01          3.1250694237E-01          2.8039761010E-01          3.0446395911E-01          2.9687174525E-01          3.2327185290E-01          5.1358486834E+02          1.5890617886E+01          1.6281381112E+01          1.8903352614E+00          5.5592056397E+00          0.0000000000E+00          5.8685792248E-01          5.9253854801E+01          2.6158274801E+00          1.0936394170E+02          3.4642587274E+03          6.5996642930E+00          
2021-06-29                11:41:34.792              179.44554159              4306.692998               180.44554159              1624959694.793            0                         963                       1.4000224288E+02          4.5000501854E+01          3.5500000000E+01          4.5244731461E+01          4.5000696845E+01          2.5000000000E+01          0.0000000000E+00          2.9132686595E+04          3.0000000000E+00          2.7219074074E-01          2.9384579188E-01          2.8688123167E-01          3.1250406506E-01          2.8145129511E-01          3.0380645443E-01          2.9665145311E-01          3.2326811701E-01          4.9168475023E+02          1.5889152636E+01          1.6279857803E+01          1.8902310220E+00          5.3919382420E+00          0.0000000000E+00          5.8685792248E-01          5.9253854801E+01          2.6158274801E+00          1.0936394170E+02          3.4605328145E+03          6.5996642930E+00          
2021-06-29                11:41:36.055              179.44555620              4306.693349               180.44555620              1624959696.056            0                         963                       1.4000072814E+02          4.5000572205E+01          3.5524818402E+01          4.5244590759E+01          4.5000907898E+01          4.7000000000E+01          0.0000000000E+00          2.9132205456E+04          3.0000000000E+00          2.7465341850E-01          2.9202970047E-01          2.8725992189E-01          3.1251378140E-01          2.8399684249E-01          3.0193091324E-01          2.9704023397E-01          3.2327764522E-01          4.3869597298E+02          1.5895379318E+01          1.6286184344E+01          1.8899791239E+00          4.9871513210E+00          0.0000000000E+00          5.8448435556E-01          5.9253854801E+01          2.2866205377E+00          1.0936394170E+02          3.4605328145E+03          6.5996642930E+00          
2021-06-29                11:41:36.875              179.44556569              4306.693577               180.44556569              1624959696.876            0                         963                       1.4000072814E+02          4.5000572205E+01          3.5524818402E+01          4.5244590759E+01          4.5000907898E+01          4.7000000000E+01          0.0000000000E+00          2.9132205456E+04          3.0000000000E+00          2.7466315856E-01          2.9021525439E-01          2.8749055663E-01          3.1252352819E-01          2.8400608545E-01          3.0005816725E-01          2.9727725566E-01          3.2328720461E-01          4.3869420827E+02          1.5899421965E+01          1.6290291803E+01          1.8898155792E+00          4.7243549162E+00          0.0000000000E+00          5.8448435556E-01          5.9253854801E+01          2.2866205377E+00          1.0936394170E+02          3.4605328145E+03          6.5996642930E+00          
